
result: name0136 ---> mIoU=65.3860%, MSE=0.0246, mAcc=0.6170%, time=0.0070s
result: name0137 ---> mIoU=78.4460%, MSE=0.0072, mAcc=0.2857%, time=0.0050s
result: name0138 ---> mIoU=79.2628%, MSE=0.0057, mAcc=0.2636%, time=0.0060s
result: name0139 ---> mIoU=70.7834%, MSE=0.0522, mAcc=0.3121%, time=0.0060s
result: name0140 ---> mIoU=68.9392%, MSE=0.0261, mAcc=0.5255%, time=0.0070s
result: name0141 ---> mIoU=89.4774%, MSE=0.0126, mAcc=0.7493%, time=0.0070s
result: name0142 ---> mIoU=78.2162%, MSE=0.0058, mAcc=0.3626%, time=0.0070s
result: name0143 ---> mIoU=82.8142%, MSE=0.0101, mAcc=0.4292%, time=0.0070s
result: name0144 ---> mIoU=94.0956%, MSE=0.0021, mAcc=0.2638%, time=0.0070s
result: name0145 ---> mIoU=81.3698%, MSE=0.0105, mAcc=0.2668%, time=0.0070s
result: name0146 ---> mIoU=89.8935%, MSE=0.0080, mAcc=0.3972%, time=0.0070s
result: name0147 ---> mIoU=59.7400%, MSE=0.0105, mAcc=0.2388%, time=0.0060s
result: name0148 ---> mIoU=77.0703%, MSE=0.0294, mAcc=0.3864%, time=0.0060s
result: name0149 ---> mIoU=37.0416%, MSE=0.0410, mAcc=0.2497%, time=0.0060s
result: name0150 ---> mIoU=81.5576%, MSE=0.0238, mAcc=0.4364%, time=0.0070s
result: name0151 ---> mIoU=86.3880%, MSE=0.0077, mAcc=0.6204%, time=0.0070s
result: name0152 ---> mIoU=66.1024%, MSE=0.0185, mAcc=0.5741%, time=0.0080s
result: name0153 ---> mIoU=93.9229%, MSE=0.0066, mAcc=0.4667%, time=0.0060s
result: name0154 ---> mIoU=63.5744%, MSE=0.0077, mAcc=0.3456%, time=0.0070s
result: name0155 ---> mIoU=67.3795%, MSE=0.0262, mAcc=0.2782%, time=0.0060s
result: name0156 ---> mIoU=52.6578%, MSE=0.0228, mAcc=0.2155%, time=0.0070s
result: name0157 ---> mIoU=76.8554%, MSE=0.0070, mAcc=0.1718%, time=0.0065s
result: name0158 ---> mIoU=60.8465%, MSE=0.1599, mAcc=0.1868%, time=0.0070s
result: name0159 ---> mIoU=51.3721%, MSE=0.0165, mAcc=0.2859%, time=0.0060s
result: name0160 ---> mIoU=88.9265%, MSE=0.0027, mAcc=0.4114%, time=0.0060s
result: name0161 ---> mIoU=64.8983%, MSE=0.0039, mAcc=0.3892%, time=0.0060s
result: name0162 ---> mIoU=89.2606%, MSE=0.0531, mAcc=0.4358%, time=0.0070s
result: name0163 ---> mIoU=67.0475%, MSE=0.0147, mAcc=0.4058%, time=0.0070s
result: name0164 ---> mIoU=80.6016%, MSE=0.0049, mAcc=0.5022%, time=0.0070s
result: name0165 ---> mIoU=84.5583%, MSE=0.0068, mAcc=0.3701%, time=0.0060s
result: name0166 ---> mIoU=62.4920%, MSE=0.0069, mAcc=0.2594%, time=0.0070s
result: name0167 ---> mIoU=66.9650%, MSE=0.0157, mAcc=0.4640%, time=0.0060s
result: name0168 ---> mIoU=85.7232%, MSE=0.0037, mAcc=0.4370%, time=0.0060s
result: name0169 ---> mIoU=64.9712%, MSE=0.0093, mAcc=0.3171%, time=0.0060s
result: name0170 ---> mIoU=85.0089%, MSE=0.0029, mAcc=0.3423%, time=0.0060s
result: name0171 ---> mIoU=78.1907%, MSE=0.0084, mAcc=0.3964%, time=0.0070s
result: name0172 ---> mIoU=78.4974%, MSE=0.0039, mAcc=0.3334%, time=0.0060s
result: name0173 ---> mIoU=80.0484%, MSE=0.0341, mAcc=0.4887%, time=0.0070s
result: name0174 ---> mIoU=91.6129%, MSE=0.0019, mAcc=0.2119%, time=0.0060s
result: name0175 ---> mIoU=90.0677%, MSE=0.0031, mAcc=0.2535%, time=0.0060s
result: name0176 ---> mIoU=91.3902%, MSE=0.0167, mAcc=0.5922%, time=0.0080s
result: name0177 ---> mIoU=79.9983%, MSE=0.0076, mAcc=0.3296%, time=0.0070s
result: name0178 ---> mIoU=90.9603%, MSE=0.0052, mAcc=0.3207%, time=0.0070s
result: name0179 ---> mIoU=71.6504%, MSE=0.0071, mAcc=0.2711%, time=0.0070s
result: name0180 ---> mIoU=72.6962%, MSE=0.0169, mAcc=0.3451%, time=0.0070s
result: name0181 ---> mIoU=80.2984%, MSE=0.0163, mAcc=0.5477%, time=0.0070s
result: name0182 ---> mIoU=93.2371%, MSE=0.0047, mAcc=0.3822%, time=0.0070s
result: name0183 ---> mIoU=83.8615%, MSE=0.0309, mAcc=0.5212%, time=0.0070s
result: name0184 ---> mIoU=89.5029%, MSE=0.0038, mAcc=0.4508%, time=0.0070s
result: name0185 ---> mIoU=85.4653%, MSE=0.0129, mAcc=0.4589%, time=0.0060s
result: name0186 ---> mIoU=86.3262%, MSE=0.0028, mAcc=0.2950%, time=0.0060s
